action,original comment,guide,video_url,gameId,frameId,prefer,comments
Ball recovery,"> good recovery and through pass followed by an interception
> Guide defensive team to avoid 1 v1 interception
sheng: we need to guide the 'attacking' to chase the ball to avoid 1v1 interception",defending,epitome-staging.pff.com/en/film_room/daf9b0ef-5ca3-4302-a761-41aaa969fe85/4989.9585,2367722,121358,,
Ball recovery,See how attacking players should have moved to offer better options,attacking,epitome-staging.pff.com/en/film_room/a0482111-c96d-430e-8e6c-f099872aae93/5963.864,2370710,142961,,
Ball recovery,Good turn and run with ball; want to see how the team should have defended,defending,epitome-staging.pff.com/en/film_room/e31a910c-73f1-4f06-985b-ba6847186952/5508.53,2371044,137383,,
Pass,"the action started by a pass to an open space ( no man-to-man marking) , Guide defense to improve positioning",defending,https://epitome-staging.pff.com/en/film_room/121c6021-b618-4c17-8ea0-650292fd50a2/3601.668,2450332,88136,,
Clearance,the action started with a wrong head clearence. Guide defense to avoid shot,defending,https://epitome-staging.pff.com/en/film_room/a14686ec-0cbd-4c7c-899b-455e37ccb755/3010,2450444,68726,,
Pass,Good pass. Guide defense to avoid touch in the box,defending,epitome-staging.pff.com/en/film_room/43bc285f-6695-451a-b681-1c1a34c4a580/3305.20525,2367547,79086,,
Pass,Good pass. Guide defense to avoid touch in the box,defending,epitome-staging.pff.com/en/film_room/0e70fb96-91b5-4486-a4e5-ce5034949ee0/1165.8325,2367605,27626,,
Pass,Good pass. Guide defense to avoid touch in the box,defending,epitome-staging.pff.com/en/film_room/39b0f345-eaf4-427e-beec-9c461ada658c/574.40775,2367617,9853,,
Interception,Previous action. Change attacking team to avoid interception,attacking,epitome-staging.pff.com/en/film_room/df707fd9-ca1d-40a9-a52b-68781ac8e371/526.2949375,2370815,12093,,
Pass,Better place players to avoid the touch in the box,defending,epitome-staging.pff.com/en/film_room/d851e572-cb0f-4697-ba3c-d75c5084f525/5791.827,2367627,142231,,
Pass,guide attacking to get better shot,attacking,epitome-staging.pff.com/en/film_room/ea9ebcb3-74b9-44a5-94df-fc67ce038637/1171.40475,2367729,26523,,
Pass,Guide defense to avoid goal,defending,epitome-staging.pff.com/en/film_room/29650769-ab58-4cbe-b02f-f3a5d8e82a0a/4381.5815,2367762,104960,,
Pass,Can we guide the attacking team to get a better shot,attacking,epitome-staging.pff.com/en/film_room/dbdb77b6-7e4b-4613-bf03-c09fa756f5e4/2175.27525,2367844,52638,,
Pass,Guide attack to get better chance of scoring,attacking,epitome-staging.pff.com/en/film_room/14b2e43a-fb44-49dd-b87c-11f69c5ad751/66.9336015625,2367548,426,,
Pass,Better guide defense to avoid big opportunity,defending,epitome-staging.pff.com/en/film_room/9a89a462-41ce-4704-abe0-1312a6467418/6034.0675,2367781,146072,,
Pass,Better defending,defending,epitome-staging.pff.com/en/film_room/a8fc11b9-23ad-4afe-9fbd-347765bacbeb/3850.01675,2367561,92925,,
Pass,Interested to see how attacking team can be guided better,attacking,epitome-staging.pff.com/en/film_room/50d7c5d9-35fa-417e-9941-87cf04abed74/2447.2805,2367635,58331,,
Pass,key pass leading to a big chance. Guide attacking team to do better,attacking,https://epitome-staging.pff.com/en/film_room/68629b92-26d3-4997-afd6-69d7520e2e11/5461,2367650,132132,,
Pass,the event starts with a freekick leading to a big chance. Guide attacking to take better shot,attacking,https://epitome-staging.pff.com/en/film_room/3d33358d-8edb-4e07-b70c-bbfa7b662b7a/4870.904,2367830,117893,,
Pass,the event starts with a key pass. Guide attacking team to finish better,attacking,https://epitome-staging.pff.com/en/film_room/8bf37ee1-898d-44e9-a538-c04342bf8ef4/4297,2370870,101489,,
Pass,the event starts with a perfect cross. Guide attacking to do better,attacking,https://epitome-staging.pff.com/en/film_room/ffd0e150-aea4-423b-973d-01339f46062f/835.4,2370982,20781,,
Pass,event starts with a long throw-in. Guide attacking team to finish better,attacking,https://epitome-staging.pff.com/en/film_room/2b6e14fa-9ad3-4eca-bf2e-012a7e81c57f/5357,2450451,126832,,
Pass,event starts with a long pass (key pass). Guide attacking team to finish better,attacking,https://epitome-staging.pff.com/en/film_room/de19354a-7326-4e84-8d8f-d298f9067d9f/5306,2450488,130479,,
Pass,Defense team to prevent switch of play,defending,epitome-staging.pff.com/en/film_room/dae0f7d5-5b67-4b41-ab85-f14797d45107/6072.339,2367731,148399,,
Pass,Defense team to prevent switch of play,defending,epitome-staging.pff.com/en/film_room/3d33358d-8edb-4e07-b70c-bbfa7b662b7a/1819.185875,2367830,43198,,
Pass,Guide team to take better advantage of the situation,attacking,epitome-staging.pff.com/en/film_room/f8a9ca28-64dc-4f06-a8f6-cee3aa7afa87/5875.731,2450301,144560,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/99cf83a9-589a-489a-8a8b-65d1838d0b12/5089.556,2367592,121373,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/9e8c107e-3358-486b-8a49-7ecb9b069705/834.701375,2367751,16018,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/4a183284-c099-4262-8534-bc681b407821/968.969,2367824,24038,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/3361b3bf-ce3d-40d1-a917-eb03796b14f9/5419.0525,2367917,129474,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/71fc8870-efdb-4925-b854-454687da3586/2280.619,2370759,56976,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/d8d60583-e020-4f08-bbf2-a9ef0a938a23/1480.4565,2370831,36826,,
Pass,Better guide the defense to avoid opportunity,defending,epitome-staging.pff.com/en/film_room/38071a03-270f-486b-9f9e-eaaeb2a13e44/5192.2255,2371026,123752,,